query,join,outer_size,outer_no,innner_size,innner_no,outername,innername
1.1,1,8,365,36,3265,DATES,LINEORDER
1.2,1,11,31,28,1372,DATES,LINEORDER
1.3,1,12,7,28,1346,DATES,LINEORDER
2.1,1,16,4102,20,2999,SUPPLIER,LINEORDER
,2,20,12302657,8,1,LINEORDER,DATES
,3,20,12302657,20,1,LINEORDER,PART
2.2,1,16,4001,20,3001,SUPPLIER,LINEORDER
,2,20,12005083,8,1,LINEORDER,DATES
,3,20,12005083,13,1,LINEORDER,PART
2.3,1,16,3972,20,2999,SUPPLIER,LINEORDER
,2,20,11912175,8,1,LINEORDER,DATES
,3,20,11912175,13,1,LINEORDER,PART
3.1,1,8,2192,20,24934,DATES,LINEORDER
,2,20,54654552,31,1,LINEORDER,SUPPLIER
,3,20,10937383,31,1,LINEORDER,CUSTOMER
3.2,1,8,2192,20,24934,DATES,LINEORDER
,2,20,2211533,29,1,LINEORDER,SUPPLIER
,3,20,88131,29,1,LINEORDER,CUSTOMER
3.3,1,8,2192,20,24934,DATES,LINEORDER
,2,20,54654552,14,1,LINEORDER,SUPPLIER
,3,20,448503,14,1,LINEORDER,CUSTOMER
3.4,1,15,31,20,24916,DATES,LINEORDER
,2,20,772406,14,1,LINEORDER,SUPPLIER
,3,20,6325,14,1,LINEORDER,CUSTOMER
4.1,1,16,4102,32,2999,SUPPLIER,LINEORDER
,2,32,12302657,8,1,LINEORDER,DATES
,3,32,12302657,31,1,LINEORDER,CUSTOMER
,4,32,2443676,10,1,LINEORDER,PART
4.2,1,31,729,32,19794,SUPPLIER,LINEORDER
,2,32,2959049,8,1,LINEORDER,DATES
,3,32,588071,16,1,LINEORDER,CUSTOMER
,4,32,235773,17,1,LINEORDER,PART
4.3,1,29,729,32,19794,SUPPLIER,LINEORDER
,2,32,14430083,8,1,LINEORDER,DATES
,3,32,584616,4,1,LINEORDER,CUSTOMER
,4,32,584616,20,1,LINEORDER,PART
